,0
0,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00000
1,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00001
2,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00002
3,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00003
4,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00004
5,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00005
6,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00006
7,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00007
8,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00008
9,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00009
10,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00010
11,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00011
12,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00012
13,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00013
14,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00014
15,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00015
16,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00016
17,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00017
18,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00018
19,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00019
20,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00020
21,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00021
22,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00022
23,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00023
24,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00024
25,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00025
26,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00026
27,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00027
28,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00028
29,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00029
30,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00030
31,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00031
32,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00032
33,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00033
34,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00034
35,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00035
36,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00036
37,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00037
38,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00038
39,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00039
40,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00040
41,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00041
42,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00042
43,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00043
44,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00044
45,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00045
46,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00046
47,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00047
48,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00048
49,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00049
50,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00050
51,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00051
52,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00052
53,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00053
54,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00054
55,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00055
56,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00056
57,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00057
58,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00058
59,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00059
60,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00060
61,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00061
62,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00062
63,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00063
64,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00064
65,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00065
66,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00066
67,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00067
68,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00068
69,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00069
70,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00070
71,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00071
72,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00072
73,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00073
74,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00074
75,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00075
76,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00076
77,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00077
78,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00078
79,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00079
80,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00080
81,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00081
82,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00082
83,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00083
84,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00084
85,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00085
86,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00086
87,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00087
88,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00088
89,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00089
90,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00090
91,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00091
92,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00092
93,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00093
94,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00094
95,../Autonomous_Dataset/jepa_probe/recording_20260318_083409_best_spatial/seq_00095
